Organisation,Launch Pad,Launch Center,Launch State,Launch Country,Month,Year
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Feb,1967
Arm??e de l'Air,Brigitte,Hammaguir,Algeria,France,Feb,1967
RVSN USSR,Site 86/1,Kapustin Yar,,Russia,Feb,1967
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Feb,1967
Arm??e de l'Air,Brigitte,Hammaguir,Algeria,France,Feb,1967
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Feb,1967
General Dynamics,LC-13,Cape Canaveral AFS,Florida,USA,Feb,1967
General Dynamics,SLC-4E,Vandenberg AFB,California,USA,Feb,1967
NASA,LC-34,Cape Canaveral AFS,Florida,USA,Jan,1967
RVSN USSR,Site 162,Baikonur Cosmodrome,,Kazakhstan,Jan,1967
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Jan,1967
Martin Marietta,SLC-41,Cape Canaveral AFS,Florida,USA,Jan,1967
RVSN USSR,Site 86/1,Kapustin Yar,,Russia,Dec,1966
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Dec,1966
UT,Uchinoura Space Center,Japan,,,Dec,1966
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Dec,1966
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Dec,1966
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Dec,1966
RVSN USSR,Site 86/1,Kapustin Yar,,Russia,Dec,1966
General Dynamics,LC-576B3,Vandenberg AFB,California,USA,Dec,1966
General Dynamics,LC-12,Cape Canaveral AFS,Florida,USA,Dec,1966
General Dynamics,SLC-4E,Vandenberg AFB,California,USA,Dec,1966
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Dec,1966
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Nov,1966
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Nov,1966
RVSN USSR,Site 41/15,Baikonur Cosmodrome,,Kazakhstan,Nov,1966
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Nov,1966
NASA,LC-19,Cape Canaveral AFS,Florida,USA,Nov,1966
General Dynamics,LC-14,Cape Canaveral AFS,Florida,USA,Nov,1966
General Dynamics,LC-13,Cape Canaveral AFS,Florida,USA,Nov,1966
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,Nov,1966
General Dynamics,SLC-4E,Vandenberg AFB,California,USA,Nov,1966
RVSN USSR,Site 162,Baikonur Cosmodrome,,Kazakhstan,Nov,1966
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Oct,1966
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Oct,1966
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Oct,1966
