Organisation,Launch Pad,Launch Facility,Launch State,Launch Country,Month,Year
Martin Marietta,SLC-4E,Vandenberg AFB,California,USA,Aug,1985
NASA,LC-39A,Kennedy Space Center,Florida,USA,Aug,1985
NASA,LC-39A,Kennedy Space Center,Florida,USA,Jul,1985
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,Jun,1985
NASA,LC-39A,Kennedy Space Center,Florida,USA,Jun,1985
NASA,LC-39A,Kennedy Space Center,Florida,USA,May,1985
NASA,LC-39A,Kennedy Space Center,Florida,USA,Apr,1985
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Mar,1985
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Mar,1985
Martin Marietta,SLC-4W,Vandenberg AFB,California,USA,Feb,1985
NASA,LC-39A,Kennedy Space Center,Florida,USA,Jan,1985
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,Dec,1984
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Dec,1984
Martin Marietta,SLC-4E,Vandenberg AFB,California,USA,Dec,1984
NASA,LC-39A,Kennedy Space Center,Florida,USA,Nov,1984
NASA,LC-39A,Kennedy Space Center,Florida,USA,Oct,1984
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Sep,1984
NASA,LC-39A,Kennedy Space Center,Florida,USA,Aug,1984
Martin Marietta,SLC-4W,Vandenberg AFB,California,USA,Aug,1984
Martin Marietta,SLC-4E,Vandenberg AFB,California,USA,Jun,1984
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Jun,1984
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Jun,1984
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Apr,1984
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,Apr,1984
NASA,LC-39A,Kennedy Space Center,Florida,USA,Apr,1984
General Dynamics,SLC-3E,Vandenberg AFB,California,USA,Feb,1984
NASA,LC-39A,Kennedy Space Center,Florida,USA,Feb,1984
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,Jan,1984
NASA,LC-39A,Kennedy Space Center,Florida,USA,Nov,1983
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Nov,1983
NASA,LC-39A,Kennedy Space Center,Florida,USA,Sep,1983
Martin Marietta,SLC-4W,Vandenberg AFB,California,USA,Jul,1983
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Jul,1983
Martin Marietta,SLC-4E,Vandenberg AFB,California,USA,Jun,1983
NASA,LC-39A,Kennedy Space Center,Florida,USA,Jun,1983
General Dynamics,SLC-3E,Vandenberg AFB,California,USA,Jun,1983
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,May,1983
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Apr,1983
NASA,LC-39A,Kennedy Space Center,Florida,USA,Apr,1983
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Mar,1983
General Dynamics,SLC-3E,Vandenberg AFB,California,USA,Feb,1983
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Dec,1982
Martin Marietta,SLC-4E,Vandenberg AFB,California,USA,Nov,1982
NASA,LC-39A,Kennedy Space Center,Florida,USA,Nov,1982
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,Oct,1982
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Sep,1982
NASA,LC-39A,Kennedy Space Center,Florida,USA,Jun,1982
Martin Marietta,SLC-4E,Vandenberg AFB,California,USA,May,1982
NASA,LC-39A,Kennedy Space Center,Florida,USA,Mar,1982
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,Mar,1982
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,Mar,1982
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Jan,1982
General Dynamics,SLC-3E,Vandenberg AFB,California,USA,Dec,1981
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Dec,1981
NASA,LC-39A,Kennedy Space Center,Florida,USA,Nov,1981
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,Oct,1981
Martin Marietta,SLC-4E,Vandenberg AFB,California,USA,Sep,1981
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,Aug,1981
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Jun,1981
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,May,1981
Martin Marietta,SLC-4W,Vandenberg AFB,California,USA,Apr,1981
NASA,LC-39A,Kennedy Space Center,Florida,USA,Apr,1981
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,Mar,1981
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Feb,1981
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,Feb,1981
Martin Marietta,SLC-4W,Vandenberg AFB,California,USA,Dec,1980
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Dec,1980
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Dec,1980
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,Oct,1980
Martin Marietta,SLC-4E,Vandenberg AFB,California,USA,Jun,1980
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,May,1980
General Dynamics,SLC-3E,Vandenberg AFB,California,USA,Apr,1980
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Mar,1980
General Dynamics,SLC-3E,Vandenberg AFB,California,USA,Feb,1980
Martin Marietta,SLC-4E,Vandenberg AFB,California,USA,Feb,1980
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,Jan,1980
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,Nov,1979
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,Oct,1979
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Sep,1979
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Jun,1979
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,Jun,1979
US Air Force,SLC-4W,Vandenberg AFB,California,USA,May,1979
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,May,1979
Martin Marietta,SLC-4E,Vandenberg AFB,California,USA,Mar,1979
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Feb,1979
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,Dec,1978
General Dynamics,SLC-3E,Vandenberg AFB,California,USA,Dec,1978
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Nov,1978
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Oct,1978
General Dynamics,SLC-3E,Vandenberg AFB,California,USA,Oct,1978
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,Aug,1978
Martin Marietta,SLC-4W,Vandenberg AFB,California,USA,Aug,1978
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Jun,1978
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Jun,1978
Martin Marietta,SLC-4E,Vandenberg AFB,California,USA,Jun,1978
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,Jun,1978
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,May,1978
General Dynamics,SLC-3E,Vandenberg AFB,California,USA,May,1978
General Dynamics,LC-13,Cape Canaveral AFS,Florida,USA,Apr,1978
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Mar,1978
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,Mar,1978
Martin Marietta,SLC-4E,Vandenberg AFB,California,USA,Mar,1978
Martin Marietta,SLC-4W,Vandenberg AFB,California,USA,Feb,1978
General Dynamics,SLC-3E,Vandenberg AFB,California,USA,Feb,1978
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,Feb,1978
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Jan,1978
General Dynamics,LC-13,Cape Canaveral AFS,Florida,USA,Dec,1977
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Dec,1977
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,Sep,1977
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Sep,1977
Martin Marietta,SLC-41,Cape Canaveral AFS,Florida,USA,Sep,1977
Martin Marietta,SLC-41,Cape Canaveral AFS,Florida,USA,Aug,1977
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Aug,1977
Martin Marietta,SLC-4E,Vandenberg AFB,California,USA,Jun,1977
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Jun,1977
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,May,1977
General Dynamics,LC-13,Cape Canaveral AFS,Florida,USA,May,1977
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,May,1977
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Mar,1977
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,Feb,1977
Martin Marietta,SLC-4E,Vandenberg AFB,California,USA,Dec,1976
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Sep,1976
Martin Marietta,SLC-4W,Vandenberg AFB,California,USA,Aug,1976
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Jul,1976
Martin Marietta,SLC-4E,Vandenberg AFB,California,USA,Jul,1976
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,Jun,1976
Martin Marietta,SLC-4W,Vandenberg AFB,California,USA,Jun,1976
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,May,1976
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Apr,1976
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Mar,1976
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,Mar,1976
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Jan,1976
Martin Marietta,SLC-41,Cape Canaveral AFS,Florida,USA,Jan,1976
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,Dec,1975
Martin Marietta,SLC-4E,Vandenberg AFB,California,USA,Dec,1975
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Oct,1975
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Sep,1975
Martin Marietta,SLC-41,Cape Canaveral AFS,Florida,USA,Sep,1975
Martin Marietta,SLC-41,Cape Canaveral AFS,Florida,USA,Aug,1975
NASA,LC-39B,Kennedy Space Center,Florida,USA,Jul,1975
General Dynamics,LC-13,Cape Canaveral AFS,Florida,USA,Jun,1975
Martin Marietta,SLC-4E,Vandenberg AFB,California,USA,Jun,1975
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,May,1975
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,May,1975
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Apr,1975
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Apr,1975
Martin Marietta,SLC-4W,Vandenberg AFB,California,USA,Mar,1975
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,Feb,1975
Martin Marietta,SLC-41,Cape Canaveral AFS,Florida,USA,Dec,1974
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Nov,1974
Martin Marietta,SLC-4E,Vandenberg AFB,California,USA,Oct,1974
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Aug,1974
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Jul,1974
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Jun,1974
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,May,1974
Martin Marietta,SLC-4E,Vandenberg AFB,California,USA,Apr,1974
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Feb,1974
Martin Marietta,SLC-41,Cape Canaveral AFS,Florida,USA,Feb,1974
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,Dec,1973
NASA,LC-39B,Kennedy Space Center,Florida,USA,Nov,1973
Martin Marietta,SLC-4E,Vandenberg AFB,California,USA,Nov,1973
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Nov,1973
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Sep,1973
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,Aug,1973
Martin Marietta,SLC-4W,Vandenberg AFB,California,USA,Aug,1973
NASA,LC-39B,Kennedy Space Center,Florida,USA,Jul,1973
Martin Marietta,SLC-4E,Vandenberg AFB,California,USA,Jul,1973
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Jun,1973
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,Jun,1973
NASA,LC-39B,Kennedy Space Center,Florida,USA,May,1973
US Air Force,SLC-4W,Vandenberg AFB,California,USA,May,1973
NASA,LC-39A,Kennedy Space Center,Florida,USA,May,1973
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Apr,1973
Martin Marietta,SLC-4E,Vandenberg AFB,California,USA,Mar,1973
General Dynamics,LC-13,Cape Canaveral AFS,Florida,USA,Mar,1973
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Dec,1972
General Dynamics,LC-13,Cape Canaveral AFS,Florida,USA,Dec,1972
NASA,LC-39A,Kennedy Space Center,Florida,USA,Dec,1972
Martin Marietta,SLC-4E,Vandenberg AFB,California,USA,Oct,1972
General Dynamics,LC-576A1,Vandenberg AFB,California,USA,Oct,1972
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Sep,1972
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Aug,1972
Martin Marietta,SLC-4E,Vandenberg AFB,California,USA,Jul,1972
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Jun,1972
US Air Force,SLC-4W,Vandenberg AFB,California,USA,May,1972
NASA,LC-39A,Kennedy Space Center,Florida,USA,Apr,1972
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Mar,1972
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,Mar,1972
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,Mar,1972
Martin Marietta,SLC-4W,Vandenberg AFB,California,USA,Feb,1972
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Jan,1972
Martin Marietta,SLC-4E,Vandenberg AFB,California,USA,Jan,1972
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,Dec,1971
General Dynamics,LC-13,Cape Canaveral AFS,Florida,USA,Dec,1971
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,Nov,1971
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Oct,1971
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Aug,1971
General Dynamics,LC-576A2,Vandenberg AFB,California,USA,Aug,1971
NASA,LC-39A,Kennedy Space Center,Florida,USA,Jul,1971
Martin Marietta,SLC-4E,Vandenberg AFB,California,USA,Jun,1971
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,May,1971
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,May,1971
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,May,1971
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Apr,1971
Martin Marietta,SLC-4W,Vandenberg AFB,California,USA,Mar,1971
NASA,LC-39A,Kennedy Space Center,Florida,USA,Jan,1971
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,Jan,1971
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Jan,1971
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Nov,1970
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,Nov,1970
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Oct,1970
General Dynamics,LC-13,Cape Canaveral AFS,Florida,USA,Sep,1970
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Aug,1970
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Jun,1970
General Dynamics,LC-13,Cape Canaveral AFS,Florida,USA,Jun,1970
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Apr,1970
NASA,LC-39A,Kennedy Space Center,Florida,USA,Apr,1970
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,Apr,1970
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Jan,1970
NASA,LC-39A,Kennedy Space Center,Florida,USA,Nov,1969
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Oct,1969
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Aug,1969
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,Aug,1969
NASA,LC-39A,Kennedy Space Center,Florida,USA,Jul,1969
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Jun,1969
Martin Marietta,SLC-41,Cape Canaveral AFS,Florida,USA,May,1969
NASA,LC-39B,Kennedy Space Center,Florida,USA,May,1969
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Apr,1969
General Dynamics,LC-13,Cape Canaveral AFS,Florida,USA,Apr,1969
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,Mar,1969
General Dynamics,LC-576A2,Vandenberg AFB,California,USA,Mar,1969
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Mar,1969
NASA,LC-39A,Kennedy Space Center,Florida,USA,Mar,1969
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Feb,1969
Martin Marietta,SLC-41,Cape Canaveral AFS,Florida,USA,Feb,1969
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Jan,1969
NASA,LC-39A,Kennedy Space Center,Florida,USA,Dec,1968
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Dec,1968
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Dec,1968
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Nov,1968
NASA,LC-34,Cape Canaveral AFS,Florida,USA,Oct,1968
Martin Marietta,SLC-41,Cape Canaveral AFS,Florida,USA,Sep,1968
General Dynamics,SLC-3E,Vandenberg AFB,California,USA,Aug,1968
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,Aug,1968
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Aug,1968
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Aug,1968
General Dynamics,LC-13,Cape Canaveral AFS,Florida,USA,Aug,1968
General Dynamics,LC-576A2,Vandenberg AFB,California,USA,Jul,1968
Martin Marietta,SLC-41,Cape Canaveral AFS,Florida,USA,Jun,1968
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Jun,1968
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Apr,1968
General Dynamics,LC-576A2,Vandenberg AFB,California,USA,Apr,1968
NASA,LC-39A,Kennedy Space Center,Florida,USA,Apr,1968
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Mar,1968
General Dynamics,LC-13,Cape Canaveral AFS,Florida,USA,Mar,1968
NASA,SLC-37B,Cape Canaveral AFS,Florida,USA,Jan,1968
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Jan,1968
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,Jan,1968
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Dec,1967
NASA,LC-39A,Kennedy Space Center,Florida,USA,Nov,1967
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Nov,1967
General Dynamics,LC-12,Cape Canaveral AFS,Florida,USA,Nov,1967
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Oct,1967
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Sep,1967
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Sep,1967
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Aug,1967
General Dynamics,LC-13,Cape Canaveral AFS,Florida,USA,Aug,1967
General Dynamics,LC-576B3,Vandenberg AFB,California,USA,Jul,1967
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,Jul,1967
Martin Marietta,SLC-41,Cape Canaveral AFS,Florida,USA,Jul,1967
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Jun,1967
General Dynamics,LC-12,Cape Canaveral AFS,Florida,USA,Jun,1967
General Dynamics,SLC-4E,Vandenberg AFB,California,USA,Jun,1967
General Dynamics,SLC-4E,Vandenberg AFB,California,USA,May,1967
General Dynamics,LC-13,Cape Canaveral AFS,Florida,USA,May,1967
Martin Marietta,SLC-41,Cape Canaveral AFS,Florida,USA,Apr,1967
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Apr,1967
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Apr,1967
General Dynamics,LC-12,Cape Canaveral AFS,Florida,USA,Apr,1967
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Feb,1967
General Dynamics,LC-13,Cape Canaveral AFS,Florida,USA,Feb,1967
General Dynamics,SLC-4E,Vandenberg AFB,California,USA,Feb,1967
NASA,LC-34,Cape Canaveral AFS,Florida,USA,Jan,1967
Martin Marietta,SLC-41,Cape Canaveral AFS,Florida,USA,Jan,1967
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Dec,1966
General Dynamics,LC-576B3,Vandenberg AFB,California,USA,Dec,1966
General Dynamics,LC-12,Cape Canaveral AFS,Florida,USA,Dec,1966
General Dynamics,SLC-4E,Vandenberg AFB,California,USA,Dec,1966
NASA,LC-19,Cape Canaveral AFS,Florida,USA,Nov,1966
General Dynamics,LC-14,Cape Canaveral AFS,Florida,USA,Nov,1966
General Dynamics,LC-13,Cape Canaveral AFS,Florida,USA,Nov,1966
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,Nov,1966
General Dynamics,SLC-4E,Vandenberg AFB,California,USA,Nov,1966
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Oct,1966
General Dynamics,SLC-4E,Vandenberg AFB,California,USA,Oct,1966
General Dynamics,SLC-3E,Vandenberg AFB,California,USA,Oct,1966
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Sep,1966
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,Sep,1966
General Dynamics,SLC-4E,Vandenberg AFB,California,USA,Sep,1966
NASA,LC-19,Cape Canaveral AFS,Florida,USA,Sep,1966
General Dynamics,LC-14,Cape Canaveral AFS,Florida,USA,Sep,1966
Martin Marietta,SLC-41,Cape Canaveral AFS,Florida,USA,Aug,1966
NASA,LC-34,Cape Canaveral AFS,Florida,USA,Aug,1966
General Dynamics,SLC-3E,Vandenberg AFB,California,USA,Aug,1966
General Dynamics,SLC-4E,Vandenberg AFB,California,USA,Aug,1966
General Dynamics,LC-13,Cape Canaveral AFS,Florida,USA,Aug,1966
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Jul,1966
NASA,LC-19,Cape Canaveral AFS,Florida,USA,Jul,1966
General Dynamics,LC-14,Cape Canaveral AFS,Florida,USA,Jul,1966
General Dynamics,LC-576B3,Vandenberg AFB,California,USA,Jul,1966
General Dynamics,SLC-4E,Vandenberg AFB,California,USA,Jul,1966
NASA,SLC-37B,Cape Canaveral AFS,Florida,USA,Jul,1966
Martin Marietta,SLC-41,Cape Canaveral AFS,Florida,USA,Jun,1966
General Dynamics,SLC-3E,Vandenberg AFB,California,USA,Jun,1966
General Dynamics,LC-12,Cape Canaveral AFS,Florida,USA,Jun,1966
General Dynamics,SLC-4E,Vandenberg AFB,California,USA,Jun,1966
NASA,LC-19,Cape Canaveral AFS,Florida,USA,Jun,1966
General Dynamics,LC-14,Cape Canaveral AFS,Florida,USA,Jun,1966
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,May,1966
General Dynamics,LC-14,Cape Canaveral AFS,Florida,USA,May,1966
NASA,LC-19,Cape Canaveral AFS,Florida,USA,May,1966
General Dynamics,SLC-4E,Vandenberg AFB,California,USA,May,1966
General Dynamics,SLC-4E,Vandenberg AFB,California,USA,Apr,1966
General Dynamics,LC-12,Cape Canaveral AFS,Florida,USA,Apr,1966
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Apr,1966
General Dynamics,LC-576B3,Vandenberg AFB,California,USA,Mar,1966
General Dynamics,SLC-4E,Vandenberg AFB,California,USA,Mar,1966
General Dynamics,LC-14,Cape Canaveral AFS,Florida,USA,Mar,1966
NASA,LC-34,Cape Canaveral AFS,Florida,USA,Feb,1966
General Dynamics,SLC-4E,Vandenberg AFB,California,USA,Feb,1966
General Dynamics,SLC-4E,Vandenberg AFB,California,USA,Jan,1966
Martin Marietta,SLC-41,Cape Canaveral AFS,Florida,USA,Dec,1965
NASA,LC-19,Cape Canaveral AFS,Florida,USA,Dec,1965
NASA,LC-19,Cape Canaveral AFS,Florida,USA,Dec,1965
General Dynamics,SLC-4E,Vandenberg AFB,California,USA,Nov,1965
General Dynamics,LC-14,Cape Canaveral AFS,Florida,USA,Oct,1965
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,Oct,1965
General Dynamics,LC-576B3,Vandenberg AFB,California,USA,Oct,1965
General Dynamics,SLC-4E,Vandenberg AFB,California,USA,Sep,1965
NASA,LC-19,Cape Canaveral AFS,Florida,USA,Aug,1965
General Dynamics,SLC-36B,Cape Canaveral AFS,Florida,USA,Aug,1965
General Dynamics,SLC-4E,Vandenberg AFB,California,USA,Aug,1965
NASA,SLC-37B,Cape Canaveral AFS,Florida,USA,Jul,1965
General Dynamics,LC-13,Cape Canaveral AFS,Florida,USA,Jul,1965
General Dynamics,SLC-4E,Vandenberg AFB,California,USA,Jul,1965
General Dynamics,SLC-4E,Vandenberg AFB,California,USA,Jun,1965
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,Jun,1965
NASA,LC-19,Cape Canaveral AFS,Florida,USA,Jun,1965
General Dynamics,LC-576B3,Vandenberg AFB,California,USA,May,1965
General Dynamics,SLC-4E,Vandenberg AFB,California,USA,May,1965
NASA,SLC-37B,Cape Canaveral AFS,Florida,USA,May,1965
US Air Force,SLC-20,Cape Canaveral AFS,Florida,USA,May,1965
General Dynamics,SLC-4E,Vandenberg AFB,California,USA,Apr,1965
General Dynamics,SLC-4E,Vandenberg AFB,California,USA,Apr,1965
NASA,LC-19,Cape Canaveral AFS,Florida,USA,Mar,1965
General Dynamics,LC-12,Cape Canaveral AFS,Florida,USA,Mar,1965
General Dynamics,SLC-4W,Vandenberg AFB,California,USA,Mar,1965
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,Mar,1965
General Dynamics,LC-12,Cape Canaveral AFS,Florida,USA,Feb,1965
NASA,SLC-37B,Cape Canaveral AFS,Florida,USA,Feb,1965
US Air Force,SLC-20,Cape Canaveral AFS,Florida,USA,Feb,1965
General Dynamics,SLC-4W,Vandenberg AFB,California,USA,Jan,1965
General Dynamics,LC-576B3,Vandenberg AFB,California,USA,Jan,1965
NASA,LC-19,Cape Canaveral AFS,Florida,USA,Jan,1965
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,Dec,1964
US Air Force,SLC-20,Cape Canaveral AFS,Florida,USA,Dec,1964
General Dynamics,SLC-4E,Vandenberg AFB,California,USA,Dec,1964
General Dynamics,LC-12,Cape Canaveral AFS,Florida,USA,Nov,1964
General Dynamics,LC-13,Cape Canaveral AFS,Florida,USA,Nov,1964
General Dynamics,SLC-4W,Vandenberg AFB,California,USA,Oct,1964
General Dynamics,SLC-4E,Vandenberg AFB,California,USA,Oct,1964
General Dynamics,SLC-4E,Vandenberg AFB,California,USA,Sep,1964
NASA,SLC-37B,Cape Canaveral AFS,Florida,USA,Sep,1964
General Dynamics,LC-12,Cape Canaveral AFS,Florida,USA,Sep,1964
US Air Force,SLC-20,Cape Canaveral AFS,Florida,USA,Sep,1964
General Dynamics,SLC-4E,Vandenberg AFB,California,USA,Aug,1964
General Dynamics,LC-12,Cape Canaveral AFS,Florida,USA,Jul,1964
General Dynamics,LC-13,Cape Canaveral AFS,Florida,USA,Jul,1964
